activity_id,which_distribution,which_units,log_plot,per_dollar_ok,has_exp,actual_total_expenditure,outcome_norm,baseline_norm,target_norm,outcome_norm_log10,baseline_norm_log10,target_norm_log10,outcome_norm_dollars_per_unit,baseline_norm_dollars_per_unit,target_norm_dollars_per_unit,outcome_norm_dollars_per_unit_log10,baseline_norm_dollars_per_unit_log10,target_norm_dollars_per_unit_log10,outcome_norm_dollars_per_unit_split,baseline_norm_dollars_per_unit_split,target_norm_dollars_per_unit_split,outcome_norm_dollars_per_unit_split_log10,baseline_norm_dollars_per_unit_split_log10,target_norm_dollars_per_unit_split_log10,outcome_over_target
44000-P122007,co2_emission_reductions,tonnes_co2e,True,True,True,161177446.0,78433.0,,,4.894498826747031,,,2054.9697958767356,,,3.3128054429612535,,,2054.9697958767356,,,3.3128054429612535,,,
44000-P110075,co2_emission_reductions,tonnes_co2e,True,True,True,52777680.0,113000.0,,,5.05307844348342,,,467.0591150442478,,,2.669371852113705,,,467.0591150442478,,,2.669371852113705,,,
44000-P161167,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,1443820000.0,12.0,,,1.0791812460476249,,,120318333.33333333,,,8.080331807380299,,,120318333.33333333,,,8.080331807380299,,,
44000-P131256,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,250445455.0,800387.0,0.0,,5.903300026148439,,,312.9054507382054,,,2.495413128518218,,,312.9054507382054,,,2.495413128518218,,,
44000-P095965,co2_emission_reductions,tonnes_co2e,True,True,True,422527623.0,23200000.0,,,7.365487984890899,,,18.21239754310345,,,1.2603671215884809,,,18.21239754310345,,,1.2603671215884809,,,
GB-1-204607,co2_emission_reductions,tonnes_co2e_per_year,True,True,False,,3000.0,,,3.4771212547196626,,,,,,,,,,,,,,,
XM-DAC-41114-PROJECT-00119366,co2_emission_reductions,tonnes_co2e_per_year,True,True,False,,48.6,,,1.6866362692622934,,,,,,,,,,,,,,,
GB-GOV-1-300113,co2_emission_reductions,tonnes_co2e,True,True,False,,1.7,,,0.2304489213782739,,,,,,,,,,,,,,,
44000-P112578,co2_emission_reductions,tonnes_co2e,True,True,True,950644691.0,3214583.0,,,6.507124643653782,,,295.72877446312634,,,2.470893583513522,,,295.72877446312634,,,2.470893583513522,,,
GB-1-204794,co2_emission_reductions,tonnes_co2e,True,True,False,,11.0,,,1.041392685158225,,,,,,,,,,,,,,,
44000-P161490,co2_emission_reductions,tonnes_co2e,True,True,True,16307974.0,7837548.0,,,6.894180213624584,,,2.0807494895087086,,,0.3182197967551467,,,2.774332652678278,,,0.4431585333634466,,,
44000-P152936,co2_emission_reductions,tonnes_co2e,True,True,True,606730392.0,309600.0,0.0,495000.0,5.490800952010855,,5.694605198933568,1959.723488372093,,1225.7179636363637,3.292194797914746,,3.0883905509920324,1959.723488372093,,1225.7179636363637,3.292194797914746,,3.0883905509920324,0.6254545454545455
GB-GOV-7-BPF-BCF,co2_emission_reductions,tonnes_co2e,True,True,True,10529062.0,9738.0,,,3.9884697702098757,,,1081.2345450811256,,,3.033919912811409,,,1081.2345450811256,,,3.033919912811409,,,
44000-P163383,stoves,count_stoves,True,True,True,96151984.0,300000.0,,,5.477121254719663,,,320.50661333333335,,,2.5058369951794592,,,160.25330666666667,,,2.204806999515478,,,
44000-P154672,stoves,count_stoves,True,True,True,500000000.0,1221500.0,0.0,800000.0,6.086893471309455,,5.903089986991944,409.3327875562833,,625.0,2.6120765330265634,,2.7958800173440754,409.3327875562833,,625.0,2.6120765330265634,,2.7958800173440754,1.526875
XM-DAC-46004-52127-001-LN3772,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,16866433.26,101.833,,,2.0078885382707186,,,165628.36467549813,,,5.219134713893168,,,165628.36467549813,,,5.219134713893168,,,
XM-DAC-41114-PROJECT-00097091,co2_emission_reductions,tonnes_co2e,True,True,False,,11870205.89,,,7.074458251904499,,,,,,,,,,,,,,,
44000-P120629,stoves,count_stoves,True,True,True,14418894.0,836300.0,500000.0,920000.0,5.92236209678479,5.698970004336019,5.963787827345556,17.24129379409303,28.837788,15.672710869565217,1.2365698523560171,1.4599619448047882,1.1951441217952516,8.620646897046514,14.418894,7.836355434782608,0.9355398566920359,1.158931949140807,0.8941141261312706,0.9090217391304348
44000-P122320,stoves,count_stoves,True,True,True,25714169.0,40813.0,36000.0,40813.0,4.610798519192768,4.556302500767287,4.610798519192768,630.0484894518903,714.2824722222222,630.0484894518903,2.7993739746774096,2.85386999310289,2.7993739746774096,315.02424472594515,357.1412361111111,315.02424472594515,2.4983439790134283,2.552839997438909,2.4983439790134283,1.0
44000-P133133,stoves,count_stoves,True,True,True,45847032.0,63128.0,,,4.800222030374038,,,726.2551007476873,,,2.8610891956135953,,,242.0850335825624,,,2.3839679408939327,,,
44000-P152822,stoves,count_stoves,True,True,True,329209862.0,7200.0,,,3.8573324964312685,,,45723.591944444444,,,4.660140340279157,,,15241.197314814814,,,4.183019085559494,,,
GB-1-201196,stoves,count_stoves,True,True,False,,68000.0,,62500.0,4.832508912706237,,4.795880017344075,,,,,,,,,,,,,1.088
44000-P085708,stoves,count_stoves,True,True,True,20154422.0,235728.0,,150000.0,5.372411171507191,,5.176091259055681,85.49863401886921,,134.36281333333332,1.9319591762158166,,2.1282790886673264,21.374658504717303,,33.59070333333333,1.3298991848878543,,1.5262190973393641,1.57152
44000-P132846,stoves,count_stoves,True,True,True,20675959.0,681.0,,,2.833147111912785,,,30361.17327459618,,,4.482318550386727,,,15180.58663729809,,,4.181288554722746,,,
XM-DAC-41114-PROJECT-00090074,stoves,count_stoves,True,True,False,,500.0,,,2.6989700043360187,,,,,,,,,,,,,,,
44000-P131263,stoves,count_stoves,True,True,True,243210398.0,4054758.0,0.0,5000000.0,6.6079649393361075,,6.698970004336019,59.981482988627185,,48.6420796,1.7780171990996607,,1.68701213409975,29.990741494313593,,24.3210398,1.4769872034356795,,1.3859821384357687,0.8109516
46002-P-Z1-C00-026,stoves,count_stoves,True,True,False,,6387.0,0.0,4000.0,3.805296916157985,,3.6020599913279625,,,,,,,,,,,,,1.59675
46002-P-TD-C00-001,stoves,count_stoves,True,True,False,,151.0,7559.0,5000.0,2.1789769472931693,3.878464345341469,3.6989700043360187,,,,,,,,,,,,,0.0302
XM-DAC-46004-35242-013-LN2188,stoves,count_stoves,True,True,True,378869690.49,9155.0,,,3.9616583486377155,,,41383.9093926816,,,4.616831514543171,,,41383.9093926816,,,4.616831514543171,,,
